,Original Title,Rate,Metascore,Minutes,Release,Budget,Opening Weekend USA,Gross USA,Gross Worldwide
1,Thor:Ragnarok,7.9,74,130,2017,180000000,122744989,315058289,853977126
2,Black Panther,7.3,88,134,2018,200000000,202003951,700059566,1346913161
3,Avengers: Endgame,8.5,78,181,2019,356000000,357115007,858373000,2797800564
4,Spider-Man: Far from Home,7.6,69,129,2019,160000000,92579212,390532085,1131927996
5,Catwoman,3.3,27,104,2004,100000000,16728411,40202379,82102379
6,Batman Begins,8.2,70,140,2005,150000000,48745440,206852432,373413297
7,Superman Returns,6,72,154,2006,270000000,52535096,200081192,391081192
8,The Dark Knight,9,84,152,2008,185000000,158411483,535234033,1004934033
9,Watchmen,7.6,56,162,2009,130000000,55214334,107509799,185258983
10,Green Lantern,5.5,39,114,2011,200000000,53174303,116601172,219851172
11,The Dark Knight Rises,8.4,78,164,2012,250000000,160887295,448139099,1081041287
